County,SalesTax,Location 1
Adair County,0.056,
Andrew County,0.05925,
Andrew County          Andrew County Ambulance District,0.06425,
Atchison County,0.06475,
Audrain County,0.0635,
Audrain County                                        Audrain Ambulance District,0.0685,
Audrain County                                        Van Far Ambulance District,0.0685,
Barry County,0.05725,
Barton County,0.05725,
Bates County,0.05225,
Benton County,0.05725,
Benton County              Cole Camp Ambulance District,0.06225,
Benton County             Warsaw Lincoln Ambulance District,0.06225,
Bollinger County,0.0585,
Boone County,0.05975,
Boone County                            Boone County Fairgrounds Regional Recreation District,0.06475,
Buchanan County,0.05825,
Butler County,0.05225,
Caldwell County,0.06725,
Callaway County,0.05725,
Camden County,0.05475,
Camden County                   Greenview Cid                                   Cam-mo Ambulance District,0.06975,
Camden County                   Pulaski County Ambulance District,0.05975,
Camden County                  Cam-mo Ambulance District,0.05975,
Camden County                  Toad Cove Complex Cid And Toad Cove Complex Tdd,0.07475,
Camden County                  Toad Cove Resort Cid And Toad Cove Resort Tdd,0.07475,
Cape Girardeau County,0.05225,
Carroll County,0.05475,
Carter County,0.05725,
Carter County                Landing River Center Cid,0.06725,
Cass County,0.05975,
Cass County                        Hospital Interchange Tdd,0.06975,
Cass County                        South Metropolitan Fire Protection District,0.06475,
Cedar County,0.06225,
Chariton County,0.061,
Christian County,0.05975,
Clark County,0.06725,
Clay County,0.05225,
Clay County                       Smithville Area Fire Protection District,0.05725,
Clinton County,0.04725,
Cole County,0.05725,
Cooper County,0.06225,
Cooper County                   Hail Ridge Cid,0.07225,
Crawford County,0.061,
Crawford County                      Steelville Ambulance District And Bourbon Fire Protection District,0.071,
Crawford County              North Crawford County Ambulance District,0.066,
Crawford County             North Crawford County Ambulance District And Bourbon Fire Protection District,0.071,
Crawford County             North Crawford County Ambulance District And Sullivan Fire Protection District,0.071,
Crawford County             St James Ambulance District,0.066,
Crawford County             Steelville Ambulance District,0.066,
Crawford County             Sullivan Fire Protection District,0.066,
Dade County,0.06475,
Dallas County,0.06225,
Daviess County,0.06225,
Daviess County                  Noel T Adams Ambulance District,0.06725,
Dekalb County,0.05725,
Dent County,0.05475,
Douglas County,0.05725,
Douglas County                Ava Ambulance District,0.06225,
Dunklin County,0.05225,
Franklin County,0.05975,
Franklin County                                      Gerald Area Ambulance District,0.06475,
Franklin County                 Meramec Ambulance District,0.06475,
Franklin County                 New Haven Ambulance District,0.06475,
Franklin County                 St Clair Ambulance District And St Clair Fire Protection District,0.06975,
Franklin County                Bourbon Fire Protection District,0.06475,
Franklin County                Hermann Area Ambulance District,0.06475,
Franklin County                Highway 100 Cid And Meramec Ambulance District,0.07475,
Franklin County                Meramec Ambulance District And St Clair Fire Protection District,0.06975,
Franklin County                Sullivan Fire Protection District,0.06475,
Franklin County                Union Fire Protection District,0.06475,
Franklin County                Washington Area Ambulance District,0.0635,
Gasconade County,0.056,
Gasconade County                                Gerald Area Ambulance District,0.061,
Gasconade County            Owensville Ambulance District,0.061,
Gasconade County           Hermann Area Ambulance District,0.061,
Gentry County,0.05225,
Greene County,0.05475,
Grundy County,0.05725,
Harrison County,0.05475,
Harrison County               Noel T Adams Ambulance District,0.05975,
Henry County,0.05675,
Henry County                    Warsaw Lincoln Ambulance District,0.06175,
Hickory County,0.05725,
Holt County,0.06725,
Howard County,0.0685,
Howell County,0.05162,
Iron County,0.05725,
Iron County                         Iron County Hospital District,0.06225,
Jackson County,0.056,
Jackson County                  Sni Valley Fire Protection District,0.05975,
Jackson County                 Central Jackson County Fire Protection District,0.05975,
Jackson County                 Inter City Fire Protection District,0.06475,
Jackson County                 Prairie Township Fire Protection District,0.05975,
Jasper County,0.0545,
Jefferson County,0.0635,
Jefferson County                 Rock Township Ambulance District And Rock Community Fire Protection District,0.071,
Jefferson County               Antonia Fire Protection District And Joachim-plattin Ambulance District,0.0735,
Jefferson County             Antonia Fire Protection District And Big River Ambulance District,0.0735,
Jefferson County             Antonia Fire Protection District And Rock Township Ambulance District,0.071,
Jefferson County             Big River Ambulance District,0.0735,
Jefferson County             Big River Ambulance District And High Ridge Fire Protection District,0.0735,
Jefferson County             High Ridge Fire Protection District,0.0685,
Jefferson County             High Ridge Fire Protection District And  Rock Township Ambulance District,0.071,
Jefferson County             Imperial Main Cid And Rock Township Ambulance District And Rock Community Fire Protection District,0.081,
Jefferson County             Joachim-plattin Ambulance District,0.0685,
Jefferson County             Joachim-plattin Ambulance District And Rock Community Fire Protection Distrcit,0.0735,
Jefferson County             Meramec Ambulance District,0.0685,
Jefferson County             Rock Community Fire Protection District,0.0685,
Jefferson County             Rock Township Ambulance District,0.066,
St Louis County,0.07113,
Jefferson County             Springdale Community Improvement District And Rock Township Ambulance District,0.076,
Jefferson County           Biltmore East Cid And                         High Ridge Fire Protection District,0.0785,
Johnson County,0.06475,
Knox County,0.06725,
Laclede County,0.05413,
Laclede County                     Pulaski County Ambulance District,0.05913,
Lafayette County,0.0585,
Lafayette County               Sni Valley Fire Protection District,0.0635,
Lawrence County,0.0535,
Lewis County,0.0735,
Lincoln County,0.06475,
Linn County,0.06225,
Livingston County,0.04975,
Macon County,0.0685,
Madison County,0.06225,
Maries County,0.05891,
Maries County                    Maries Osage Ambulance District,0.06391,
Maries County                    St James Ambulance District,0.06391,
Marion County,0.0585,
Marion County                    Marion County Ambulance District,0.066,
Marion County                    Monroe City Ambulance District,0.0635,
Mcdonald County,0.06225,
Mercer County,0.06475,
Miller County,0.05225,
Miller County                            Miller County Ambulance District,0.05725,
Mississippi County,0.05975,
Moniteau County,0.06225,
Monroe County,0.05725,
Monroe County                  Monroe City Ambulance District,0.06225,
Montgomery County,0.06475,
Montgomery County         Hermann Area Ambulance District,0.06975,
Morgan County                   Cam-mo Ambulance District,0.05725,
Morgan County                  Mid-mo Ambulance District,0.05725,
New Madrid County,0.06225,
Newton County,0.0535,
Newton County                  Neosho Tdd,0.056,
Nodaway County,0.06225,
Oregon County,0.06225,
Osage County,0.05975,
Osage County                     Maries Osage Ambulance District,0.06475,
Osage County                     Osage Ambulance District,0.06475,
Ozark County,0.06725,
Pemiscot County,0.06725,
Perry County,0.061,
Pettis County,0.05225,
Pettis County                      Cole Camp Ambulance District,0.05725,
Phelps County,0.0535,
Phelps County                    St James Ambulance District,0.0585,
Pike County,0.06225,
Pike County                         Van Far Ambulance District,0.06725,
Platte County,0.056,
Platte County                     Smithville Area Fire Protection District,0.061,
Polk County,0.056,
Pulaski County,0.05475,
Pulaski County                   Pulaski County Ambulance District,0.05975,
Putnam County,0.06225,
Ralls County,0.06725,
Ralls County                       Van Far Ambulance District,0.07225,
Ralls County                      Monroe City Ambulance District,0.07225,
Randolph County,0.05975,
Ray County,0.05725,
Ray County                          Orrick Fire Protection District,0.06225,
Ray County                         Orrick Fire Protection District And Ray County Ambulance District,0.06725,
Ray County                         Ray County Ambulance District,0.06225,
Reynolds County,0.05725,
Ripley County,0.06225,
Saline County,0.056,
Schuyler County,0.06225,
Scotland County,0.05475,
Scott County,0.05225,
Shannon County,0.05225,
Shelby County,0.06225,
Shelby County                    Monroe City Ambulance District,0.06725,
Shelby County                    Salt River Ambulance District,0.06725,
St Charles County,0.0595,
St Clair County,0.04725,
St Clair County                Collins Cid,0.05725,
St Francois County,0.0635,
St Louis County                  Midwest Plaza Cid,0.07613,
St Louis County                  Paddock Forest Cid,0.08113,
St Louis County                  St Johns Church Rd Tdd,0.07613,
St Louis County                  Tori Pines Commons Cid,0.07613,
St Louis County                  University Place Tdd,0.08113,
St Louis County                  Victoria Crossings Cid,0.07613,
St Louis County (t1),0.07113,
St Louis County (t2),0.07113,
St Louis County (t3),0.07113,
St Louis County (t3)            Mayfair Plaza Cid And Hwy 367 & Parker Rd Tdd,0.08613,
Ste Genevieve County,0.06725,
Stoddard County,0.05413,
Stone County,0.05975,
Stone County                      Branson Lakes Area Tced And Southern Stone County Fire Protection District,0.07475,
Stone County,0.07475,"Blue Eye
(36.496843, -93.397543)"
Stone County                      Southern Stone County Fire Protection District,0.06475,
Sullivan County,0.06975,
Taney County,0.061,
Taney County                      Branson Lakes Area Tced,0.071,
Texas County,0.061,
Vernon County,0.05225,
Warren County,0.06225,
Warren County                  Hermann Area Ambulance District,0.06725,
Washington County,0.07225,
Washington County           Bourbon Fire Protection District,0.07725,
Washington County           Sullivan Fire Protection District,0.07725,
Wayne County,0.05725,
Webster County,0.06308,
Worth County,0.061,
Wright County,0.056,
Ozark County,0.06725,Theodosia Hills
Franklin County,0.09975,Union Union Cid
St Louis County,0.08613,"Brentwood (t7)
(31.718757, -98.986454)"
Dekalb County,0.05725,"Amity
(40.039398, -80.205299)"
